URL,名称,住所,最寄駅,施工年月,市区,lat,lng
https://db.self-in.com/mansion/778783.html,パークフロント香椎照葉,福岡県福岡市東区香椎照葉4丁目4番,"['香椎花園前駅より 徒歩27分', '照葉ガーデンスクエアバス停より 徒歩4分']",2019-2,福岡市東区,33.665909,130.4182022
https://db.self-in.com/mansion/1412253.html,センターマークスタワー,福岡県福岡市東区香椎照葉5丁目1番12号,"['西鉄バス「こども病院」バス停より 徒歩5分', '千早駅より バス19分']",2019-2,福岡市東区,33.6638544,130.4164474
https://db.self-in.com/mansion/1398246.html,サヴォイ ラルカンジュ,福岡県福岡市東区馬出1丁目24番35号,"['吉塚駅より 徒歩7分', '馬出九大病院前駅より 徒歩7分', '吉塚営業所バス停より 徒歩2分', '巴町バス停より 徒歩2分']",2019-1,福岡市東区,33.6105383,130.4236559
https://db.self-in.com/mansion/765526.html,モントーレ香椎浜サーフタワーイーストウイング,福岡県福岡市東区香椎浜3丁目3番,['西鉄バス「香椎浜中央」バス停より 徒歩4分'],2018-11,福岡市東区,33.6582259,130.4280742
https://db.self-in.com/mansion/1399462.html,ラメゾンドサヴォイ,福岡県福岡市東区馬出2丁目19番13号,"['西鉄バス・JR九州バス「馬出」バス停より 徒歩1分', '西鉄バス「馬出通り」バス停より 徒歩3分', '馬出九大病院前駅より 徒歩3分', '吉塚駅より 徒歩9分']",2018-10,福岡市東区,33.6113552,130.4206903
https://db.self-in.com/mansion/769578.html,サンパーク千早グラッセ,福岡県福岡市東区千早1丁目5番15号,"['名島駅より 徒歩11分', '西鉄「城浜団地」バス停より 徒歩4分']",2018-9,福岡市東区,33.6478885,130.4285925
https://db.self-in.com/mansion/760784.html,照葉テラス　パークカーサ０３,福岡県福岡市東区香椎照葉2丁目1番,['香椎花園前駅より 徒歩19分'],2018-2,福岡市東区,33.6658711,130.4231384
https://db.self-in.com/mansion/757081.html,グランドメゾン照葉テラスパークカーサ０２,福岡県福岡市東区香椎照葉2丁目1番2号,['香椎花園前駅より 徒歩19分'],2017-11,福岡市東区,33.66592869999999,130.4229617
https://db.self-in.com/mansion/748658.html,エイルマンション千早駅前,福岡県福岡市東区水谷2丁目55番1号,"['千早駅より 徒歩3分', '西鉄バス「水谷」バス停より 徒歩3分']",2017-11,福岡市東区,33.64963669999999,130.441833
https://db.self-in.com/mansion/771321.html,プレミスト千早中央公園,福岡県福岡市東区千早4丁目14番1号,"['千早駅より 徒歩5分', '西鉄千早駅より 徒歩5分']",2017-7,福岡市東区,33.6488795,130.4368405
https://db.self-in.com/mansion/757055.html,サンリヤン箱崎九大前ステーションレジデンス,福岡県福岡市東区箱崎3丁目25番16号,['箱崎九大前駅より 徒歩1分'],2017-6,福岡市東区,33.6218458,130.4210582
https://db.self-in.com/mansion/1399066.html,サヴォイ箱崎セントリシティ,福岡県福岡市東区箱崎1丁目12番20号,"['箱崎駅より 徒歩3分', '西鉄バス「箱崎駅西口」バス停より 徒歩3分']",2017-3,福岡市東区,33.6165638,130.4255616
https://db.self-in.com/mansion/1504050.html,グランフォーレ箱崎プレミア,福岡県福岡市東区箱崎1丁目27番21号,"['箱崎駅より 徒歩5分', '箱崎宮前駅より 徒歩7分', '箱崎九大前駅より 徒歩11分']",2017-3,福岡市東区,33.6172474,130.4237306
